dataset,condition_id,synthetic,synthetic_type,homophily_target,sparsity_keep,degree_gamma,split_index,split_seed,run1_best_val_acc,run1_test_at_best,run2_best_val_acc,run2_test_at_best,run1_checkpoint,run2_checkpoint,linear_barrier,bezier_barrier,endpoint_a_val_loss,endpoint_b_val_loss,num_nodes,num_directed_edges,num_undirected_edges,edge_density,edge_homophily,degree_mean,degree_std,output_dir
cora,hnone_s1_d0p7_syn1_dcsbm,True,dcsbm,,1.0,0.7,0,42,0.114,0.105,0.106,0.129,/Users/williserdman/Documents/school/Koyuturk/pformer_lmc/gcn_modeconnect/checkpoints/cora/hnone_s1_d0p7_syn1_dcsbm/gcn_run1_seed1941488137.pt,/Users/williserdman/Documents/school/Koyuturk/pformer_lmc/gcn_modeconnect/checkpoints/cora/hnone_s1_d0p7_syn1_dcsbm/gcn_run2_seed4198936517.pt,0.0005377531051635742,0.0005377531051635742,1.947536826133728,1.9459584951400757,2708.0,2000.0,1000.0,0.00027283060111675024,0.22300000488758087,0.738552451133728,0.9076433777809143,/Users/williserdman/Documents/school/Koyuturk/pformer_lmc/gcn_modeconnect/outputs/cora/hnone_s1_d0p7_syn1_dcsbm
cora,hnone_s1_d1_syn1_dcsbm,True,dcsbm,,1.0,1.0,0,42,0.114,0.118,0.142,0.148,/Users/williserdman/Documents/school/Koyuturk/pformer_lmc/gcn_modeconnect/checkpoints/cora/hnone_s1_d1_syn1_dcsbm/gcn_run1_seed1941488137.pt,/Users/williserdman/Documents/school/Koyuturk/pformer_lmc/gcn_modeconnect/checkpoints/cora/hnone_s1_d1_syn1_dcsbm/gcn_run2_seed4198936517.pt,0.0013652443885803223,0.0013652443885803223,1.9456905126571655,1.943007230758667,2708.0,2000.0,1000.0,0.00027283060111675024,0.7089999914169312,0.738552451133728,0.89122074842453,/Users/williserdman/Documents/school/Koyuturk/pformer_lmc/gcn_modeconnect/outputs/cora/hnone_s1_d1_syn1_dcsbm
cora,hnone_s0p7_d0p7_syn1_dcsbm,True,dcsbm,,0.7,0.7,0,42,0.118,0.115,0.132,0.139,/Users/williserdman/Documents/school/Koyuturk/pformer_lmc/gcn_modeconnect/checkpoints/cora/hnone_s0p7_d0p7_syn1_dcsbm/gcn_run1_seed1941488137.pt,/Users/williserdman/Documents/school/Koyuturk/pformer_lmc/gcn_modeconnect/checkpoints/cora/hnone_s0p7_d0p7_syn1_dcsbm/gcn_run2_seed4198936517.pt,0.0015603303909301758,0.0015603303909301758,1.94674813747406,1.9453829526901245,2708.0,1400.0,700.0,0.00019098142078172514,0.17714285850524902,0.5169867277145386,0.7403287291526794,/Users/williserdman/Documents/school/Koyuturk/pformer_lmc/gcn_modeconnect/outputs/cora/hnone_s0p7_d0p7_syn1_dcsbm
cora,hnone_s0p7_d1_syn1_dcsbm,True,dcsbm,,0.7,1.0,0,42,0.122,0.118,0.12,0.13,/Users/williserdman/Documents/school/Koyuturk/pformer_lmc/gcn_modeconnect/checkpoints/cora/hnone_s0p7_d1_syn1_dcsbm/gcn_run1_seed1941488137.pt,/Users/williserdman/Documents/school/Koyuturk/pformer_lmc/gcn_modeconnect/checkpoints/cora/hnone_s0p7_d1_syn1_dcsbm/gcn_run2_seed4198936517.pt,0.0010600090026855469,0.0010600090026855469,1.9453651905059814,1.9434964656829834,2708.0,1400.0,700.0,0.00019098142078172514,0.7114285826683044,0.5169867277145386,0.7398297786712646,/Users/williserdman/Documents/school/Koyuturk/pformer_lmc/gcn_modeconnect/outputs/cora/hnone_s0p7_d1_syn1_dcsbm
cora,h0p2_s1_d0p7_syn1_dcsbm,True,dcsbm,0.2,1.0,0.7,0,42,0.108,0.113,0.178,0.165,/Users/williserdman/Documents/school/Koyuturk/pformer_lmc/gcn_modeconnect/checkpoints/cora/h0p2_s1_d0p7_syn1_dcsbm/gcn_run1_seed1941488137.pt,/Users/williserdman/Documents/school/Koyuturk/pformer_lmc/gcn_modeconnect/checkpoints/cora/h0p2_s1_d0p7_syn1_dcsbm/gcn_run2_seed4198936517.pt,0.0009821057319641113,0.0009821057319641113,1.9477590322494507,1.9462125301361084,2708.0,2000.0,1000.0,0.00027283060111675024,0.17499999701976776,0.738552451133728,0.8994695544242859,/Users/williserdman/Documents/school/Koyuturk/pformer_lmc/gcn_modeconnect/outputs/cora/h0p2_s1_d0p7_syn1_dcsbm
cora,h0p2_s1_d1_syn1_dcsbm,True,dcsbm,0.2,1.0,1.0,0,42,0.124,0.113,0.1,0.11,/Users/williserdman/Documents/school/Koyuturk/pformer_lmc/gcn_modeconnect/checkpoints/cora/h0p2_s1_d1_syn1_dcsbm/gcn_run1_seed1941488137.pt,/Users/williserdman/Documents/school/Koyuturk/pformer_lmc/gcn_modeconnect/checkpoints/cora/h0p2_s1_d1_syn1_dcsbm/gcn_run2_seed4198936517.pt,0.0005437731742858887,0.0005437731742858887,1.9479782581329346,1.9459933042526245,2708.0,2000.0,1000.0,0.00027283060111675024,0.20200000703334808,0.738552451133728,0.8715288043022156,/Users/williserdman/Documents/school/Koyuturk/pformer_lmc/gcn_modeconnect/outputs/cora/h0p2_s1_d1_syn1_dcsbm
cora,h0p2_s0p7_d0p7_syn1_dcsbm,True,dcsbm,0.2,0.7,0.7,0,42,0.114,0.108,0.12,0.16,/Users/williserdman/Documents/school/Koyuturk/pformer_lmc/gcn_modeconnect/checkpoints/cora/h0p2_s0p7_d0p7_syn1_dcsbm/gcn_run1_seed1941488137.pt,/Users/williserdman/Documents/school/Koyuturk/pformer_lmc/gcn_modeconnect/checkpoints/cora/h0p2_s0p7_d0p7_syn1_dcsbm/gcn_run2_seed4198936517.pt,0.0004832148551940918,0.0004832148551940918,1.9473377466201782,1.9465548992156982,2708.0,1400.0,700.0,0.00019098142078172514,0.16285714507102966,0.5169867277145386,0.732808530330658,/Users/williserdman/Documents/school/Koyuturk/pformer_lmc/gcn_modeconnect/outputs/cora/h0p2_s0p7_d0p7_syn1_dcsbm
cora,h0p2_s0p7_d1_syn1_dcsbm,True,dcsbm,0.2,0.7,1.0,0,42,0.136,0.144,0.122,0.143,/Users/williserdman/Documents/school/Koyuturk/pformer_lmc/gcn_modeconnect/checkpoints/cora/h0p2_s0p7_d1_syn1_dcsbm/gcn_run1_seed1941488137.pt,/Users/williserdman/Documents/school/Koyuturk/pformer_lmc/gcn_modeconnect/checkpoints/cora/h0p2_s0p7_d1_syn1_dcsbm/gcn_run2_seed4198936517.pt,0.00030678510665893555,0.00030678510665893555,1.9469188451766968,1.94633150100708,2708.0,1400.0,700.0,0.00019098142078172514,0.19428572058677673,0.5169867277145386,0.7267363667488098,/Users/williserdman/Documents/school/Koyuturk/pformer_lmc/gcn_modeconnect/outputs/cora/h0p2_s0p7_d1_syn1_dcsbm
cora,h0p4_s1_d0p7_syn1_dcsbm,True,dcsbm,0.4,1.0,0.7,0,42,0.11,0.094,0.064,0.081,/Users/williserdman/Documents/school/Koyuturk/pformer_lmc/gcn_modeconnect/checkpoints/cora/h0p4_s1_d0p7_syn1_dcsbm/gcn_run1_seed1941488137.pt,/Users/williserdman/Documents/school/Koyuturk/pformer_lmc/gcn_modeconnect/checkpoints/cora/h0p4_s1_d0p7_syn1_dcsbm/gcn_run2_seed4198936517.pt,0.0,0.0,1.9505774974822998,1.9481042623519897,2708.0,2000.0,1000.0,0.00027283060111675024,0.1809999942779541,0.738552451133728,0.8854008316993713,/Users/williserdman/Documents/school/Koyuturk/pformer_lmc/gcn_modeconnect/outputs/cora/h0p4_s1_d0p7_syn1_dcsbm
cora,h0p4_s1_d1_syn1_dcsbm,True,dcsbm,0.4,1.0,1.0,0,42,0.124,0.112,0.1,0.114,/Users/williserdman/Documents/school/Koyuturk/pformer_lmc/gcn_modeconnect/checkpoints/cora/h0p4_s1_d1_syn1_dcsbm/gcn_run1_seed1941488137.pt,/Users/williserdman/Documents/school/Koyuturk/pformer_lmc/gcn_modeconnect/checkpoints/cora/h0p4_s1_d1_syn1_dcsbm/gcn_run2_seed4198936517.pt,0.0009831786155700684,0.0009831786155700684,1.9464929103851318,1.9459062814712524,2708.0,2000.0,1000.0,0.00027283060111675024,0.40299999713897705,0.738552451133728,0.8668554425239563,/Users/williserdman/Documents/school/Koyuturk/pformer_lmc/gcn_modeconnect/outputs/cora/h0p4_s1_d1_syn1_dcsbm
